surface,directory,entry_point,status,command,extras_required,reason,notes
examples,examples/advanced/Diffusion_LLM,examples/advanced/Diffusion_LLM/tessera_diffusion_llm.py,scaffold,,,"Research sketch — references non-existent APIs (``ts.compile(mode='training')``, ``ts.randint``, ``Tensor[]`` syntax) and the package modules require PyTorch.  Reimplement against the canonical Tessera surface or mark broken when that work starts.",Submodule ``tessera_diffusion_llm/`` is a separate package that imports torch; see STATUS.md for the path forward.
examples,examples/advanced/Fast_dLLM_v2,examples/advanced/Fast_dLLM_v2/tests/smoke_random.py,runnable,python examples/advanced/Fast_dLLM_v2/tests/smoke_random.py,,,Fast dLLM v2 numpy reference + Graph IR build + Apple CPU compile (self-bootstraps sys.path).
examples,examples/advanced/Jet_nemotron,examples/advanced/Jet_nemotron/examples/e2e_infer.py,scaffold,,,Requires the upstream ``tessera.stdlib`` research stack which is not part of the standalone compiler surface.  Test ``tests/test_sanity.py`` locks the e2e_infer import block + skips honestly when stdlib is absent.,Post-2026-05-19 fix: removed bogus ``tessera_jetnemotron`` ghost-package import; example now bootstraps sys.path against sibling modules.
examples,examples/advanced/Nemotron_Nano_12B_v2,examples/advanced/Nemotron_Nano_12B_v2/tests/smoke_random.py,runnable,python examples/advanced/Nemotron_Nano_12B_v2/tests/smoke_random.py,,,Nemotron-H hybrid pattern numpy reference + Graph IR build + Apple CPU compile (self-bootstraps sys.path).
examples,examples/advanced/Tessera_Empirical_Software_Agent,examples/advanced/Tessera_Empirical_Software_Agent/src/agents/tree_search_runner.py,scaffold,,,"End-to-end LLM + tree-search agent — requires a real LLM client, sandbox executor, and per-task harness.  DummyLLM only proposes ``print('hello from variant N')`` stubs; the orchestrator is not runnable as a CI smoke test.",Kernel-autotuning sub-example (``examples/kernel_autotuning/``) is closer to runnable and could graduate independently.
examples,examples/advanced/gumiho,examples/advanced/gumiho/demo.py,runnable,PYTHONPATH=python:examples/advanced/gumiho python examples/advanced/gumiho/demo.py,,,"Gumiho (ICML'25) hybrid speculative decoding — serial 2-layer Transformer head + 5 parallel MLP heads + Full Tree Attention, draft compute on the Apple GPU/CPU backend, verify/advance via tessera.speculative."
examples,examples/advanced/kv_cache_serving,examples/advanced/kv_cache_serving/demo.py,runnable,PYTHONPATH=python:examples/advanced/kv_cache_serving python examples/advanced/kv_cache_serving/demo.py,,,Quantized KV-cache serving scheduler walkthrough.
examples,examples/advanced/long_context_attention,examples/advanced/long_context_attention/demo.py,runnable,PYTHONPATH=python:examples/advanced/long_context_attention python examples/advanced/long_context_attention/demo.py,,,Per-head role classification + cache-bytes estimator.
examples,examples/advanced/mla,examples/advanced/mla/tests/smoke_random.py,runnable,python examples/advanced/mla/tests/smoke_random.py,,,FlashMLA numpy reference + Graph IR build + Apple CPU compile (self-bootstraps sys.path).
examples,examples/advanced/power_retention,examples/advanced/power_retention/examples/minimal_power_attn.py,scaffold,,,"Placeholder — entry-point script currently just prints ``'example'``.  Real implementation lives in the ``python/tessera_power/`` subpackage (CUDA scaffolds, Retention op) which is not wired into the audit yet.",See README.md for the v0.2 update plan.
examples,examples/advanced/rlvr_reasoning_suite,examples/advanced/rlvr_reasoning_suite/run_demo.py,runnable,PYTHONPATH=python:examples/advanced/rlvr_reasoning_suite python examples/advanced/rlvr_reasoning_suite/run_demo.py --steps 1 --group-size 2 --log examples/advanced/rlvr_reasoning_suite/runs/rewards.jsonl,,,GRPO accounting + JSONL telemetry; CPU-only toy policy.
examples,examples/compiler/dnas,examples/compiler/dnas/dnas_schedule_autotune.py,runnable,PYTHONPATH=python python examples/compiler/dnas/dnas_schedule_autotune.py,,,Differentiable arch search + schedule search using tessera.arch.
examples,examples/compiler/ir_pipeline_tutorial,examples/compiler/ir_pipeline_tutorial/tessera_ir_pipeline_demo.py,runnable,PYTHONPATH=python python examples/compiler/ir_pipeline_tutorial/tessera_ir_pipeline_demo.py,,,Prints Graph IR → Schedule IR → Tile IR → Target IR for a tiny MLP.
examples,examples/conformance,examples/conformance/apple_path_ga_ebm_demos.py,runnable,python examples/conformance/apple_path_ga_ebm_demos.py,,,Apple-path GA + EBM demos — self-bootstraps sys.path. Surfaces Apple GPU manifest status for GA kernels.
examples,examples/getting_started,examples/getting_started/basic_tensor_ops.py,runnable,PYTHONPATH=python python examples/getting_started/basic_tensor_ops.py,,,"Canonical @tessera.jit walkthrough — add, RMSNorm, SwiGLU on CPU."
examples,examples/getting_started,examples/getting_started/compile_and_explain.py,runnable,PYTHONPATH=python python examples/getting_started/compile_and_explain.py,,,"Canonical compiler tour (P0-4, 2026-05-19). Walks through @tessera.jit → fn() → fn.explain() → ts.compiler.support() → ts.from_text() in ~80 lines.  Linked from README.md."
examples,examples/getting_started/tessera_flash_attention_demo,examples/getting_started/tessera_flash_attention_demo/examples/flash_attention_demo.py,runnable_optional,PYTHONPATH=python:examples/getting_started/tessera_flash_attention_demo python examples/getting_started/tessera_flash_attention_demo/examples/flash_attention_demo.py,torch,,Cross-checks Tessera vs. PyTorch reference attention.
examples,examples/integration/HF_transformer,examples/integration/HF_transformer/tessera_huggingface_transformers.py,scaffold,,,"References non-existent Tessera APIs (``from tessera import function, Module``); needs a rewrite against the canonical surface (``@tessera.jit`` + ``tessera.nn.Module``).",Hugging Face Transformers compatibility sketch.
examples,examples/optimization,examples/optimization/README.md,scaffold,,,Top-level placeholder directory with only README.md and src/ stubs — no entry-point script exists yet.,Slated for autotune + roofline tooling examples.
benchmarks,archive/benchmarks/matrix_multiplication,archive/benchmarks/matrix_multiplication/blackwell_matmul_tessera.py,archived,,,Pre-Phase-6 matmul benchmark. Superseded by ``benchmark_gemm.py`` + ``run_all.py``. Kept in-tree for historical replay; not part of the current performance story.,See archive/benchmarks/README.md for the deprecation note.
