target,isa,architecture,products,priority,op_name,family,status,dtypes,compiler_artifact,runtime_execute,numerical_check,compiler_path,execution_mode,evidence_arch,toolchain_min,tile_shape,expected_mfu,roofline,notes
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,gelu,activation,device_verified_jit,"fp32,fp16,bf16",complete,complete,complete,rocm_activation_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,Standalone elementwise gelu (tanh approximation) — flat per-element kernel (generate-rocm-activation-kernel). Executes via runtime.launch() (rocm_activation_compiled).
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,silu,activation,device_verified_jit,"fp32,fp16,bf16",complete,complete,complete,rocm_activation_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,Standalone elementwise silu (x·σ(x)) — flat per-element kernel (generate-rocm-activation-kernel). Executes via runtime.launch() (rocm_activation_compiled).
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,silu_mul,activation,device_verified_jit,"fp32,fp16,bf16",complete,complete,complete,rocm_silu_mul_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,SwiGLU gate-multiply silu(a)·b — flat 2-operand elementwise kernel (generate-rocm-silu-mul-kernel). The standalone analog of the fused SwiGLU gate-multiply. Executes via runtime.launch() (rocm_silu_mul_compiled).
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,softmax,activation,device_verified_jit,"fp32,fp16,bf16",complete,complete,complete,rocm_softmax_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,"Row-wise stable softmax over the last axis — the first non-matmul/non-WMMA device_verified_jit ROCm kernel (generate-rocm-softmax-kernel: one workgroup per row, LDS tree-reduce, f32 reduce). Executes via runtime.launch() (rocm_softmax_compiled)."
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,softmax_safe,activation,device_verified_jit,fp32,complete,complete,complete,rocm_reduce_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,Stable reduction softmax_safe — max-shifted reduce (max/sum) + unary exp/log lane. Executes via runtime.launch() (rocm_stable_reduce_compiled).
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,attn_sliding_window,attention,device_verified_jit,"fp16,bf16",complete,complete,complete,rocm_flash_attn_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,"Mistral sliding-window via the flash_attn WMMA kernel (sliding_window attr, causal band of width W; KV-tile skip). Executes via runtime.launch() (window kwarg)."
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,deepseek_sparse_attention,attention,device_verified_jit,fp32,complete,complete,complete,rocm_sparse_attn_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,"DeepSeek/NSA composition — sliding + compressed-block branches remain reference compositions while the top-k branch uses the GPU-resident top-k selector plus selected-block sparse-attention kernel when ROCm is available. Executes via runtime.launch() (rocm_sparse_attn_compiled), with exact reference fallback off hardware."
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,flash_attn,attention,device_verified_abi,"fp16,bf16",complete,complete,complete,rocm_flash_attn_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,"RDNA 3.5 WMMA flash-attention forward executes on the AMD GPU through the shipped libtessera_rocm_flash_attn.so symbols (tessera_rocm_wmma_flash_attn_{f16,bf16}, HIPRTC-device_verified_jit for the device arch at load); ROCm 7.2.4. The second op after matmul to run natively on a non-Apple backend. Numerically validated vs a numpy attention reference by the execute_compare_fixture. The FA-2 BACKWARD (dQ/dK/dV) also executes on gfx1151 via the compiler-generated rocm_flash_attn_bwd_compiled lane (generate-wmma-flash-attn-bwd-kernel -> fa_pre/fa_dkdv/fa_dq; MHA + GQA/MQA + additive attn_bias + sliding-window + logit-softcap, scale+causal), validated vs autodiff vjp_flash_attn — see the runtime_execution_matrix."
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,gated_attention,attention,device_verified_jit,"fp16,bf16",complete,complete,complete,rocm_exotic_attn_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,Softmax attention × a learned gate — the WMMA flash_attn kernel + an elementwise sigmoid-gate multiply. Executes via runtime.launch() (rocm_exotic_attn_compiled).
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,gated_deltanet,attention,device_verified_jit,"fp32,fp16,bf16",complete,complete,complete,rocm_deltanet_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,"Gated/delta linear-attention recurrence as a causal SEQUENTIAL-SCAN kernel (generate-rocm-deltanet-kernel: one workgroup per (b,h), one thread per value-column, LDS state) — the first recurrent device_verified_jit ROCm kernel. erase/gate/beta/decay flags. Executes via runtime.launch() (rocm_deltanet_compiled)."
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,gqa_attention,attention,device_verified_jit,"fp16,bf16",complete,complete,complete,rocm_flash_attn_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,"GQA/MQA via the flash_attn WMMA kernel (gqa directive attr; fwd+bwd, grouped K/V; runtime detects from operand shapes). Executes on gfx1151 via runtime.launch() (rocm_flash_attn_device_verified_jit); no shipped C-ABI symbol."
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,hybrid_attention,attention,device_verified_jit,"fp16,bf16,fp32",complete,complete,complete,rocm_exotic_attn_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,Named Ling/Kimi hybrid attention policy wrapper — delegates Lightning slots to rocm_linear_attn_compiled and Delta/Kimi slots to rocm_deltanet_compiled when ROCm is available; MLA softmax/weight slots fall back to the public reference until the fused hybrid slot is promoted.
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,kimi_delta_attention,attention,device_verified_jit,"fp32,fp16,bf16",complete,complete,complete,rocm_deltanet_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,"Kimi Delta Attention — the gated/delta scan kernel (generate-rocm-deltanet-kernel), same recurrence as gated_deltanet. Executes via runtime.launch() (rocm_deltanet_compiled)."
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,lightning_attention,attention,device_verified_jit,"fp16,bf16",complete,complete,complete,rocm_linear_attn_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,"Decay-masked linear attention (φ=identity, A[i,j]*=λ^(i-j)) via the linear-attn kernel, dispatched by op name. Executes via runtime.launch(). (Degree-2 retention — φ=x² + decay — shares this kernel via op-name dispatch but has no separate rocm op row.)"
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,linear_attn,attention,device_verified_jit,"fp16,bf16",complete,complete,complete,rocm_linear_attn_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,"Quadratic-parallel linear attention O=(φ(Q)φ(K)ᵀ⊙causal)@V, no softmax (dedicated generate-wmma-linear-attn-kernel). φ ∈ {identity,relu,polynomial_2}. Executes via runtime.launch() (rocm_linear_attn_compiled)."
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,mla_decode,attention,device_verified_jit,"fp16,bf16",complete,complete,complete,rocm_exotic_attn_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,Multi-head latent attention decode — latent K/V projections (WMMA GEMM) + the WMMA flash_attn kernel. Executes via runtime.launch() (rocm_exotic_attn_compiled).
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,mla_decode_fused,attention,device_verified_jit,"fp16,bf16",complete,complete,complete,rocm_exotic_attn_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,Fused MLA decode — down/up latent projections (c=x@w_dkv; K=c@w_uk; V=c@w_uv on the WMMA GEMM) + the WMMA flash_attn kernel. Executes via runtime.launch() (rocm_exotic_attn_compiled).
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,modified_delta_attention,attention,device_verified_jit,"fp32,fp16,bf16",complete,complete,complete,rocm_deltanet_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,Modified Delta Attention — the gated/delta scan kernel with a bounded delta update (delta / (1 + ‖k‖·‖target‖)). Executes via runtime.launch() (rocm_deltanet_compiled).
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,mqa_attention,attention,device_verified_jit,"fp16,bf16",complete,complete,complete,rocm_flash_attn_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,Multi-query attention = the GQA flash_attn kernel at kv_ratio=H (one shared KV head). Executes via runtime.launch().
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,multi_head_attention,attention,device_verified_jit,"fp16,bf16",complete,complete,complete,rocm_flash_attn_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,Full multi-head = the flash_attn WMMA kernel itself. Executes via runtime.launch() (rocm_flash_attn_compiled).
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,layer_norm,norm,device_verified_jit,"fp32,fp16,bf16",complete,complete,complete,rocm_norm_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,"Unweighted row layer_norm over the last axis (row-reduction kernel, generate-rocm-norm-kernel): (x − μ) / sqrt(var + eps). Executes via runtime.launch() (rocm_norm_compiled)."
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,rmsnorm,norm,device_verified_jit,"fp32,fp16,bf16",complete,complete,complete,rocm_norm_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,"Unweighted row rmsnorm over the last axis (row-reduction kernel, generate-rocm-norm-kernel): x / sqrt(mean(x²) + eps). Executes via runtime.launch() (rocm_norm_compiled)."
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,rmsnorm_safe,norm,device_verified_jit,"fp32,fp16,bf16",complete,complete,complete,rocm_norm_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,"Unweighted row rmsnorm_safe over the last axis (row-reduction kernel, generate-rocm-norm-kernel) with the safe default eps=1e-6. Executes via runtime.launch() (rocm_norm_compiled)."
rocm_gfx1151,gfx1151,RDNA 3.5 Wave32,Ryzen AI Max+ 395 / Radeon 8060S,proven_development,memory_index_score,other,device_verified_jit,fp32,complete,complete,complete,rocm_composite_helper_compiled,hip_runtime,gfx1151,hipcc≥7.2.4,,,,Composite helper memory_index_score — Target IR keeps the helper compiler-visible while composing existing ROCm matmul/softmax/unary/binary kernels plus host metadata logic. Executes via runtime.launch() (rocm_composite_helper_compiled) without a numerical reference fallback.
