scope,item,status,ready,total,open,detail,source,next_action
overall,End-to-end optimizing compiler dashboard checks,mixed,11,27,16,"dashboard_checks_closed=11, mixed=13, open=3, primary_open=backend_kernel, Direct test evidence, CUDA target-map native promotion",docs/audit/generated/compiler_progress.csv,Drive the largest open-work rows without collapsing backend promotion into all-up compiler status.
phase,Public Python API,closed,349,349,0,public=349,docs/audit/generated/support_table.csv,Keep this layer drift-gated through support_table.csv.
phase,Frontend capture,closed,349,349,0,public=349,docs/audit/generated/support_table.csv,Keep this layer drift-gated through support_table.csv.
phase,Graph IR registration,closed,349,349,0,"not_applicable=32, registered=317",docs/audit/generated/support_table.csv,Keep this layer drift-gated through support_table.csv.
phase,Schedule IR,closed,349,349,0,"complete=347, not_applicable=2",docs/audit/generated/support_table.csv,Keep this layer drift-gated through support_table.csv.
phase,Tile IR,mixed,333,349,16,"complete=4, fused=296, no_kernel_required=7, not_applicable=26, partial=16",docs/audit/generated/support_table.csv,Close partial Tile IR rows or explicitly classify them as fused/not-applicable.
phase,Target IR native/fused codegen,mixed,329,349,20,"device_verified_abi=27, device_verified_jit=196, fused=72, no_kernel_required=8, not_applicable=26, reference=20",docs/audit/generated/support_table.csv,Promote high-use reference rows into native/fused Target IR or mark intentional reference-only lanes.
phase,Runtime dispatch readiness,closed,349,349,0,"fused=6, ready=343",docs/audit/generated/support_table.csv,Keep this layer drift-gated through support_table.csv.
phase,Benchmark evidence,mixed,99,349,250,"benchmarked=99, none=250",docs/audit/generated/support_table.csv,Attach benchmarks to native/hardware-promoted rows first.
primitive_axis,batching_rule,closed,515,515,0,"primitive contract axis; open means partial or planned, not necessarily missing API support",docs/audit/generated/s_series_status.md,No action unless this row reopens.
primitive_axis,transpose_rule,closed,515,515,0,"primitive contract axis; open means partial or planned, not necessarily missing API support",docs/audit/generated/s_series_status.md,No action unless this row reopens.
primitive_axis,sharding_rule,mixed,456,515,59,"primitive contract axis; open means partial or planned, not necessarily missing API support",docs/audit/generated/s_series_status.md,"Prioritize model-facing collectives, layout, memory, and optimizer rows."
primitive_axis,lowering_rule,closed,515,515,0,"primitive contract axis; open means partial or planned, not necessarily missing API support",docs/audit/generated/s_series_status.md,No action unless this row reopens.
primitive_axis,backend_kernel,mixed,99,515,416,"primitive contract axis; open means partial or planned, not necessarily missing API support",docs/audit/generated/s_series_status.md,Promote by backend/pathway; do not treat every target as an all-up compiler veto.
integration,Verifier coverage,closed,236,236,0,real=236,docs/audit/generated/verifier_coverage.csv,No action unless this row reopens.
integration,Direct test evidence,mixed,401,515,114,"covered_by_family=26, directly_tested=408, hardware_gated=4, structural_only=77",docs/audit/generated/test_coverage.csv,Convert structural_only and needs_direct_test rows into direct compare fixtures; keep hardware_gated tied to backend proof.
integration,Runtime execution matrix,closed,262,262,0,"apple_cpu=2, apple_gpu=24, cpu=5, nvidia_sm120=52, rocm=92, x86=87",docs/audit/generated/runtime_execution_matrix.csv,Add rows only when a launch path actually executes.
integration,Runtime ABI symbols,mixed,557,872,315,"apple=691, nvidia=8, rocm=13, x86=160",docs/audit/generated/runtime_abi.csv,Reduce stub-only ABI rows where a backend claims native execution.
