area,op,family,current_status,bucket,owner,next_action,source
backend_kernel,spec_accept,acceptance_verification,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,spec_accept_sample,acceptance_verification,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,spec_accept_tree_sample,acceptance_verification,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,target_verify,acceptance_verification,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,attn_compressed_blocks,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,attn_local_window_2d,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,attn_sliding_window,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,attn_top_k_blocks,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,cross_attention,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,deepseek_sparse_attention,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,flash_attn,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,gated_attention,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,gated_deltanet,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,gqa_attention,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,hybrid_attention,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,kimi_delta_attention,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,lightning_attention,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,linear_attn,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,linear_attn_state,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,lookahead_sparse_attention,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,memory_index_score,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,mla_decode,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,mla_decode_fused,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,modified_delta_attention,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
backend_kernel,mqa_attention,attention,partial,backend_pathway_owned,backend_codegen,Promote by backend/pathway evidence; keep registry axis conservative until target proof is complete.,primitive_coverage.contract_status.backend_kernel
