family,ops,migration_state,differential_policy,certifier,execution_certificate_schema,schedule_consumer,tile_consumer,targets,exact_target_status
adafactor_vjp,adafactor,canonical_composite,non_reexecuting_state_lineage,certify_frontends_non_reexecuting,tessera.native_vjp_execution.v1,schedule.adafactor_vjp,tile.training_kernel,nvidia_sm120 rocm x86,nvidia_sm120:missing_exact_device_packet rocm:exact_device_packet x86:exact_device_packet
attention_backward,flash_attn gqa_attention mqa_attention,canonical_composite,zero_dropout_attention,certify_frontends,tessera.native_vjp_execution.v1,schedule.attention_backward,tile.attention_backward_kernel,rocm x86,rocm:exact_device_packet x86:exact_device_packet
binary_loss_backward,binary_cross_entropy_loss loss.binary_cross_entropy,canonical_composite,pure_only,certify_frontends,tessera.native_vjp_execution.v1,schedule.loss_backward,tile.loss_backward_kernel,nvidia_sm120 rocm x86,nvidia_sm120:missing_exact_device_packet rocm:exact_device_packet x86:exact_device_packet
class_loss_backward,cross_entropy_loss label_smoothed_cross_entropy loss.cross_entropy,canonical_composite,pure_only,certify_frontends,tessera.native_vjp_execution.v1,schedule.loss_backward,tile.loss_backward_kernel,nvidia_sm120 rocm x86,nvidia_sm120:missing_exact_device_packet rocm:exact_device_packet x86:exact_device_packet
distribution_loss_backward,js_divergence kl_divergence loss.js_divergence loss.kl_divergence,canonical_composite,pure_only,certify_frontends,tessera.native_vjp_execution.v1,schedule.loss_backward,tile.loss_backward_kernel,rocm,rocm:exact_device_packet
lion_vjp,lion,canonical_composite,non_reexecuting_state_lineage,certify_frontends_non_reexecuting,tessera.native_vjp_execution.v1,schedule.lion_vjp,tile.training_kernel,nvidia_sm120 rocm x86,nvidia_sm120:missing_exact_device_packet rocm:exact_device_packet x86:exact_device_packet
matmul_backward,matmul,canonical_composite,pure_only,certify_frontends,tessera.native_vjp_execution.v1,schedule.matmul_backward,tile.matmul,rocm,rocm:exact_device_packet
normalization,layer_norm rmsnorm rmsnorm_safe,canonical_composite,pure_only,certify_frontends,tessera.native_vjp_execution.v1,schedule.native_vjp_program,tile.native_vjp_program,apple_gpu nvidia_sm120 rocm x86,apple_gpu:missing_exact_device_packet nvidia_sm120:missing_exact_device_packet rocm:exact_device_packet x86:exact_device_packet
optimizer_vjp,adam adamw momentum nesterov sgd,canonical_composite,non_reexecuting_state_lineage,certify_frontends_non_reexecuting,tessera.native_vjp_execution.v1,schedule.optimizer_vjp,tile.training_kernel,nvidia_sm120 rocm x86,nvidia_sm120:missing_exact_device_packet rocm:exact_device_packet x86:exact_device_packet
regression_loss_backward,huber_loss loss.huber loss.mae loss.mse loss.smooth_l1 mae_loss mse_loss smooth_l1_loss,canonical_composite,pure_only,certify_frontends,tessera.native_vjp_execution.v1,schedule.loss_backward,tile.loss_backward_kernel,nvidia_sm120 rocm x86,nvidia_sm120:missing_exact_device_packet rocm:exact_device_packet x86:exact_device_packet
selective_ssm_backward,selective_ssm,canonical_composite,non_reexecuting_state_lineage,certify_frontends_non_reexecuting,tessera.native_vjp_execution.v1,schedule.sequence_mixer_backward,tile.training_kernel,rocm,rocm:exact_device_packet
sequence_mixer_backward,gated_deltanet kimi_delta_attention modified_delta_attention,canonical_composite,non_reexecuting_state_lineage,certify_frontends_non_reexecuting,tessera.native_vjp_execution.v1,schedule.sequence_mixer_backward,tile.training_kernel,nvidia_sm120 rocm x86,nvidia_sm120:missing_exact_device_packet rocm:exact_device_packet x86:exact_device_packet
spectral_backward,istft spectral_conv spectral_filter stft,canonical_composite,pure_only,certify_frontends,tessera.native_vjp_execution.v1,schedule.spectral_backward,tile.spectral_backward_kernel,nvidia_sm120 rocm x86,nvidia_sm120:missing_exact_device_packet rocm:exact_device_packet x86:exact_device_packet
